phase_id,phase_name,lesson_id,lesson_title,teaching_book,book_exists,book_pages,lesson_page,page_valid,practice_label,practice_paths,practice_all_exist,review_path,review_exists,repair_path,repair_exists,source_count,source_urls,source_urls_complete
foundation,Foundation,O1,How This Course Works,assets/foundation/01_LEARN/C1_M00_FOUNDATION_BEGINNER_FIRST_LEARNER_BOOK_RC1.pdf,True,34,6,True,O1,assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_BEGINNER_FIRST_PRACTICE_BOOK_RC1.pdf | assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_EVIDENCE_LOG_RC1.xlsx,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_TARGETED_REPAIR_CARDS_PROTECTED_RC1.pdf,True,0,,True
foundation,Foundation,O2,"Files, Folders and Safe Data Handling",assets/foundation/01_LEARN/C1_M00_FOUNDATION_BEGINNER_FIRST_LEARNER_BOOK_RC1.pdf,True,34,9,True,O2,assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_BEGINNER_FIRST_PRACTICE_BOOK_RC1.pdf | assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_EVIDENCE_LOG_RC1.xlsx,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_TARGETED_REPAIR_CARDS_PROTECTED_RC1.pdf,True,0,,True
foundation,Foundation,O3,Using the Learning System,assets/foundation/01_LEARN/C1_M00_FOUNDATION_BEGINNER_FIRST_LEARNER_BOOK_RC1.pdf,True,34,12,True,O3,assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_BEGINNER_FIRST_PRACTICE_BOOK_RC1.pdf | assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_EVIDENCE_LOG_RC1.xlsx,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_TARGETED_REPAIR_CARDS_PROTECTED_RC1.pdf,True,0,,True
foundation,Foundation,F1,What Does a Data Analyst Actually Do?,assets/foundation/01_LEARN/C1_M00_FOUNDATION_BEGINNER_FIRST_LEARNER_BOOK_RC1.pdf,True,34,15,True,F1,assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_BEGINNER_FIRST_PRACTICE_BOOK_RC1.pdf | assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_EVIDENCE_LOG_RC1.xlsx,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_TARGETED_REPAIR_CARDS_PROTECTED_RC1.pdf,True,1,https://www.youtube.com/watch?v=mCSbYbXWmH0,True
foundation,Foundation,F2,From Vague Request to Analytical Question,assets/foundation/01_LEARN/C1_M00_FOUNDATION_BEGINNER_FIRST_LEARNER_BOOK_RC1.pdf,True,34,18,True,F2,assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_BEGINNER_FIRST_PRACTICE_BOOK_RC1.pdf | assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_EVIDENCE_LOG_RC1.xlsx,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_TARGETED_REPAIR_CARDS_PROTECTED_RC1.pdf,True,0,,True
foundation,Foundation,F3,Metrics and KPIs,assets/foundation/01_LEARN/C1_M00_FOUNDATION_BEGINNER_FIRST_LEARNER_BOOK_RC1.pdf,True,34,21,True,F3,assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_BEGINNER_FIRST_PRACTICE_BOOK_RC1.pdf | assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_EVIDENCE_LOG_RC1.xlsx,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_TARGETED_REPAIR_CARDS_PROTECTED_RC1.pdf,True,0,,True
foundation,Foundation,F4,Grain and Required Data,assets/foundation/01_LEARN/C1_M00_FOUNDATION_BEGINNER_FIRST_LEARNER_BOOK_RC1.pdf,True,34,24,True,F4,assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_BEGINNER_FIRST_PRACTICE_BOOK_RC1.pdf | assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_EVIDENCE_LOG_RC1.xlsx,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_TARGETED_REPAIR_CARDS_PROTECTED_RC1.pdf,True,0,,True
foundation,Foundation,F5,Data Quality,assets/foundation/01_LEARN/C1_M00_FOUNDATION_BEGINNER_FIRST_LEARNER_BOOK_RC1.pdf,True,34,27,True,F5,assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_BEGINNER_FIRST_PRACTICE_BOOK_RC1.pdf | assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_EVIDENCE_LOG_RC1.xlsx,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_TARGETED_REPAIR_CARDS_PROTECTED_RC1.pdf,True,0,,True
foundation,Foundation,F6,Analysis Validation and the Complete Analyst Brief,assets/foundation/01_LEARN/C1_M00_FOUNDATION_BEGINNER_FIRST_LEARNER_BOOK_RC1.pdf,True,34,30,True,F6,assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_BEGINNER_FIRST_PRACTICE_BOOK_RC1.pdf | assets/foundation/02_PRACTICE/C1_M00_FOUNDATION_EVIDENCE_LOG_RC1.xlsx,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,True,assets/foundation/03_REVIEW_PROTECTED/C1_M00_FOUNDATION_TARGETED_REPAIR_CARDS_PROTECTED_RC1.pdf,True,0,,True
excel_fundamentals,Excel Fundamentals,EF1,"Meet Excel: Workbook, Worksheet and Grid",assets/excel_fundamentals/C1_M01_EXCEL_FUNDAMENTALS_BEGINNER_FIRST_LEARNER_BOOK_RC1.pdf,True,34,6,True,P-EF1_Navigation,assets/excel_fundamentals/C1_M01_EXCEL_FUNDAMENTALS_CANONICAL_PRACTICE_WORKBOOK_RC1.xlsx,True,assets/excel_fundamentals/C1_M01_EXCEL_FUNDAMENTALS_PROTECTED_PRACTICE_REVIEW_RC1.pdf,True,assets/excel_fundamentals/C1_M01_EXCEL_FUNDAMENTALS_TARGETED_REPAIR_CARDS_RC1.pdf,True,1,https://www.youtube.com/watch?v=F7aPazuS8QY&t=75s,True
excel_fundamentals,Excel Fundamentals,EF2,"Enter, Edit, Save and Structure Data",assets/excel_fundamentals/C1_M01_EXCEL_FUNDAMENTALS_BEGINNER_FIRST_LEARNER_BOOK_RC1.pdf,True,34,9,True,P-EF2_Structure,assets/excel_fundamentals/C1_M01_EXCEL_FUNDAMENTALS_CANONICAL_PRACTICE_WORKBOOK_RC1.xlsx,True,assets/excel_fundamentals/C1_M01_EXCEL_FUNDAMENTALS_PROTECTED_PRACTICE_REVIEW_RC1.pdf,True,assets/excel_fundamentals/C1_M01_EXCEL_FUNDAMENTALS_TARGETED_REPAIR_CARDS_RC1.pdf,True,1,https://www.youtube.com/watch?v=F7aPazuS8QY&t=249s,True
